Labels PtPm-2Pz_ex350_mon_450_1us 
31.738281 0.000E+0 
31.982422 0.000E+0 
32.226563 0.000E+0 
32.47070 0.000E+0 
32.714844 0.000E+0 
32.958984 0.000E+0 
33.203125 0.000E+0 
33.447266 0.000E+0 
33.691406 0.000E+0 
33.935547 0.000E+0 
34.179688 0.000E+0 
34.423828 0.000E+0 
34.667969 0.000E+0 
34.912109 0.000E+0 
35.156250 0.000E+0 
35.400391 0.000E+0 
35.644531 0.000E+0 
35.888672 0.000E+0 
36.132813 0.000E+0 
36.376953 0.000E+0 
36.621094 0.000E+0 
36.865234 0.000E+0 
37.109375 0.000E+0 
37.353516 0.000E+0 
37.597656 0.000E+0 
37.84180 0.000E+0 
38.085938 0.000E+0 
38.330078 0.000E+0 
38.574219 0.000E+0 
38.818359 0.000E+0 
39.06250 0.000E+0 
39.306641 0.000E+0 
39.550781 0.000E+0 
39.794922 0.000E+0 
40.039063 0.000E+0 
40.28320 0.000E+0 
40.527344 0.000E+0 
40.771484 0.000E+0 
41.015625 0.000E+0 
41.259766 0.000E+0 
41.503906 0.000E+0 
41.748047 0.000E+0 
41.992188 0.000E+0 
42.236328 0.000E+0 
42.480469 2.000E+0 
42.724609 3.000E+0 
42.968750 6.000E+0 
43.212891 6.000E+0 
43.457031 1.100E+1 
43.701172 1.900E+1 
43.945313 2.100E+1 
44.189453 3.100E+1 
44.433594 4.600E+1 
44.677734 8.700E+1 
44.921875 1.300E+2 
45.166016 1.380E+2 
45.410156 1.800E+2 
45.65430 1.960E+2 
45.898438 2.500E+2 
46.142578 2.380E+2 
46.386719 3.020E+2 
46.630859 2.970E+2 
46.8750 3.290E+2 
47.119141 3.390E+2 
47.363281 3.660E+2 
47.607422 4.180E+2 
47.851563 4.180E+2 
48.09570 4.080E+2 
48.339844 4.000E+2 
48.583984 4.860E+2 
48.828125 4.230E+2 
49.072266 5.000E+2 
49.316406 4.940E+2 
49.560547 4.670E+2 
49.804688 4.600E+2 
50.048828 4.000E+2 
50.292969 3.960E+2 
50.537109 3.470E+2 
50.781250 3.450E+2 
51.025391 3.040E+2 
51.269531 2.680E+2 
51.513672 2.660E+2 
51.757813 2.420E+2 
52.001953 2.380E+2 
52.246094 2.570E+2 
52.490234 2.340E+2 
52.734375 2.150E+2 
52.978516 2.520E+2 
53.222656 2.130E+2 
53.46680 2.270E+2 
53.710938 2.550E+2 
53.955078 2.550E+2 
54.199219 2.180E+2 
54.443359 2.530E+2 
54.68750 2.160E+2 
54.931641 2.140E+2 
55.175781 2.210E+2 
55.419922 2.270E+2 
55.664063 2.450E+2 
55.90820 2.400E+2 
56.152344 2.340E+2 
56.396484 2.310E+2 
56.640625 2.390E+2 
56.884766 2.390E+2 
57.128906 2.320E+2 
57.373047 2.760E+2 
57.617188 2.380E+2 
57.861328 2.850E+2 
58.105469 2.270E+2 
58.349609 2.210E+2 
58.593750 2.630E+2 
58.837891 2.200E+2 
59.082031 2.520E+2 
59.326172 2.190E+2 
59.570313 2.350E+2 
59.814453 2.010E+2 
60.058594 2.040E+2 
60.302734 1.880E+2 
60.546875 1.780E+2 
60.791016 2.200E+2 
61.035156 1.740E+2 
61.27930 1.940E+2 
61.523438 1.900E+2 
61.767578 1.700E+2 
62.011719 1.970E+2 
62.255859 1.890E+2 
62.50 1.740E+2 
62.744141 1.750E+2 
62.988281 1.780E+2 
63.232422 1.670E+2 
63.476563 1.750E+2 
63.72070 1.960E+2 
63.964844 1.870E+2 
